case,stem,mapping,pred_path,gt_path,shape,lumen_dice,lumen_iou,lumen_precision,lumen_recall,vessel_wall_dice,vessel_wall_iou,vessel_wall_precision,vessel_wall_recall
026,026_VL1,identity,sample_output/026/026_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/026/026_VL1_label_hwf.npy,512x512x400,0.7847517434140918,0.6457542639219711,0.771531476751589,0.7984329697678199,0.4349769287806127,0.27793643223527725,0.8187592636053754,0.2961572309504039
027,027_VL1,identity,sample_output/027/027_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/027/027_VL1_label_hwf.npy,512x512x381,0.7427333863111047,0.5907524929273996,0.6728347627550638,0.8288387596616421,0.440999337728127,0.2828730919751344,0.8703011549261238,0.2953226802175926
028,028_VL1,identity,sample_output/028/028_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/028/028_VL1_label_hwf.npy,512x512x371,0.8601393159950349,0.7546003893852068,0.8245976374724967,0.8988828229756725,0.2593705748868277,0.1490096462490653,0.7692683919090041,0.15598096921151425
030,030_VL1,identity,sample_output/030/030_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/030/030_VL1_label_hwf.npy,512x512x340,0.6711339035769619,0.5050425361768803,0.6254538144061683,0.7240122166610744,0.4850969500980262,0.3202164984283422,0.8520890445943813,0.339063400696178
031,031_VL1,identity,sample_output/031/031_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/031/031_VL1_label_hwf.npy,512x512x601,0.8018360214537699,0.6692206040334001,0.7729638974840546,0.8329487280295407,0.43737283955947603,0.27989583864405326,0.8185186667106927,0.29841496128575123
032,032_VL1,identity,sample_output/032/032_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/032/032_VL1_label_hwf.npy,512x512x401,0.46277024735652716,0.30104169305904444,0.3751288509845819,0.6038471188059773,0.22338013018999614,0.12573321619659977,0.31658869888461344,0.17257222136029352
033,033_VL1,identity,sample_output/033/033_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/033/033_VL1_label_hwf.npy,512x512x551,0.7614008328023736,0.6147273895921223,0.6875420249258298,0.8530379450202794,0.4033036975649005,0.25258635405482405,0.8517213303086543,0.26420434397406006
034,034_VL1,identity,sample_output/034/034_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/034/034_VL1_label_hwf.npy,512x512x351,0.6656728505729942,0.4988827896208595,0.6634826259255112,0.6678775834289403,0.40254132933630365,0.2519885720542991,0.7690819966576535,0.272614574473581
035,035_VL1,identity,sample_output/035/035_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/035/035_VL1_label_hwf.npy,512x512x401,0.7231917254334147,0.5664058886827807,0.578791575889615,0.9635947052525615,0.49662569556466396,0.33034068368701797,0.8679036518807673,0.34782896384782425
038,038_VL1,identity,sample_output/038/038_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/038/038_VL1_label_hwf.npy,512x512x451,0.7420752935149931,0.5899202787649818,0.7087255210756601,0.7787186616275523,0.23735868543316083,0.13466079767425093,0.7906285925247978,0.139640429274322
039,039_VL1,identity,sample_output/039/039_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/039/039_VL1_label_hwf.npy,512x512x451,0.6698033796110742,0.5035371232677133,0.5611175423461073,0.8307075344224135,0.36390895562855236,0.2224258588056502,0.6033242282642418,0.260525452501737
040,040_VL1,identity,sample_output/040/040_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/040/040_VL1_label_hwf.npy,512x512x401,0.857923655260525,0.751196414506099,0.8158520674297779,0.9045702318620343,0.37254449244560384,0.22891224412360892,0.8118767115244759,0.24173436588039843
041,041_VL1,identity,sample_output/041/041_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/041/041_VL1_label_hwf.npy,512x512x621,0.5538580431752798,0.3829900934424034,0.3852106576897721,0.9851717648460914,0.40199269243138375,0.25155873225825204,0.5526180117086308,0.3158912322729037
042,042_VL1,identity,sample_output/042/042_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/042/042_VL1_label_hwf.npy,512x512x351,0.7941160870464229,0.6585344397715619,0.7412224025144545,0.8551388581333375,0.3346104928021948,0.20092026000885074,0.872629772271879,0.2069905890294069
044,044_VL1,identity,sample_output/044/044_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/044/044_VL1_label_hwf.npy,512x512x401,0.6556471935725567,0.48770470849457254,0.5458257511790076,0.8207926268826006,0.4773145422068741,0.3134689044043676,0.8989689008671573,0.3249154717516984
044,044_VL2,identity,sample_output/044/044_VL2_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/044/044_VL2_label_hwf.npy,512x512x401,0.8569157427024027,0.7496523001097618,0.8219226017800679,0.8950210301957291,0.3390161432014474,0.204105621986526,0.9017280861227222,0.20874899067960642
